OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,TotalRevenue
10058,2023-08-15,Australia,Home & Garden,Coffee Maker,15,45.5,682.5
10059,2023-12-09,Europe,Apparel,Yoga Pants,9,40.0,360.0
10060,2023-03-24,Asia,Home & Garden,Air Purifier,12,210.0,2520.0
10061,2023-08-26,South America,Electronics,Tablet Mini,1,399.0,399.0
10062,2023-06-03,Asia,Office Supplies,Ergonomic Keyboard,1,95.0,95.0
10063,2023-01-10,South America,Apparel,Winter Jacket,1,120.0,120.0
10064,2023-10-21,South America,Electronics,4K Monitor,20,320.0,6400.0
10065,2023-08-19,South America,Electronics,Smartwatch,19,199.99,3799.81
10066,2023-12-16,North America,Electronics,4K Monitor,8,320.0,2560.0
10067,2023-04-11,North America,Office Supplies,Ergonomic Keyboard,11,95.0,1045.0
10068,2023-03-18,Asia,Office Supplies,Printer Paper (Case),16,30.0,480.0
10069,2023-03-26,Australia,Home & Garden,Air Purifier,16,210.0,3360.0
10070,2023-06-06,Europe,Apparel,Winter Jacket,9,120.0,1080.0
10071,2023-10-29,Asia,Electronics,Wireless Earbuds,3,150.0,450.0
10072,2023-04-14,Asia,Apparel,Yoga Pants,11,40.0,440.0
10073,2023-03-11,Asia,Apparel,Denim Jeans,6,60.0,360.0
10074,2023-02-14,North America,Apparel,Running Shoes,8,85.0,680.0
10075,2023-10-18,Europe,Home & Garden,Stand Mixer,5,299.99,1499.95
10076,2023-01-07,Europe,Office Supplies,Standing Desk,2,450.0,900.0
10077,2023-05-28,South America,Office Supplies,Standing Desk,3,450.0,1350.0
10078,2023-07-17,Europe,Home & Garden,Stand Mixer,2,299.99,599.98
10079,2023-08-04,Australia,Apparel,Sneakers,4,110.0,440.0
10080,2023-01-30,Australia,Home & Garden,Coffee Maker,4,45.5,182.0
10081,2023-09-15,Europe,Electronics,Smartphone X,9,799.99,7199.91
10082,2023-01-19,Australia,Electronics,Tablet Mini,6,399.0,2394.0
10083,2023-12-27,North America,Apparel,Cotton T-Shirt,19,15.0,285.0
10084,2023-09-03,North America,Office Supplies,Ergonomic Keyboard,16,95.0,1520.0
10085,2023-05-01,Australia,Home & Garden,Blender,16,35.0,560.0
10086,2023-07-18,Europe,Office Supplies,Desk Chair,5,199.99,999.95
10087,2023-11-17,Asia,Office Supplies,Ergonomic Keyboard,4,95.0,380.0
10088,2023-11-15,Europe,Electronics,Bluetooth Speaker,14,50.0,700.0
10089,2023-08-15,Europe,Apparel,Sneakers,14,110.0,1540.0
10090,2023-02-23,Australia,Office Supplies,Whiteboard,4,80.0,320.0
10091,2023-04-17,Australia,Home & Garden,Air Purifier,4,210.0,840.0
10092,2023-04-11,Europe,Apparel,Yoga Pants,15,40.0,600.0
10093,2023-09-02,South America,Home & Garden,Stand Mixer,13,299.99,3899.87
10094,2023-10-02,Europe,Electronics,Laptop Pro,11,1299.99,14299.89
10095,2023-12-01,Australia,Apparel,Cotton T-Shirt,18,15.0,270.0
10096,2023-09-06,South America,Office Supplies,Whiteboard,2,80.0,160.0
10097,2023-05-17,Europe,Apparel,Cotton T-Shirt,6,15.0,90.0
10098,2023-03-24,Europe,Apparel,Yoga Pants,13,40.0,520.0
10099,2023-06-10,North America,Apparel,Winter Jacket,2,120.0,240.0
10100,2023-01-03,Australia,Home & Garden,Blender,8,35.0,280.0
10101,2023-02-04,Asia,Office Supplies,Desk Chair,16,199.99,3199.84
10102,2023-11-11,South America,Office Supplies,Gel Pens (Pack),17,12.5,212.5
10103,2023-02-02,Europe,Apparel,Running Shoes,20,85.0,1700.0
10104,2023-02-03,Asia,Home & Garden,Coffee Maker,10,45.5,455.0
10105,2023-11-19,Australia,Office Supplies,Ergonomic Keyboard,4,95.0,380.0
10106,2023-05-22,Europe,Home & Garden,Coffee Maker,7,45.5,318.5
10107,2023-08-15,Australia,Home & Garden,Vacuum Cleaner,12,180.0,2160.0
10108,2023-06-30,Australia,Office Supplies,Printer Paper (Case),14,30.0,420.0
10109,2023-07-20,Europe,Office Supplies,Whiteboard,6,80.0,480.0
10110,2023-06-11,Australia,Electronics,Wireless Earbuds,1,150.0,150.0
10111,2023-09-24,Asia,Home & Garden,Blender,13,35.0,455.0
10112,2023-12-14,Australia,Home & Garden,Air Purifier,10,210.0,2100.0
10113,2023-05-14,North America,Home & Garden,Air Purifier,18,210.0,3780.0
10114,2023-06-06,Europe,Home & Garden,Stand Mixer,7,299.99,2099.93
10115,2023-04-08,Europe,Office Supplies,Desk Chair,2,199.99,399.98
10116,2023-06-10,South America,Electronics,Wireless Earbuds,8,150.0,1200.0
10117,2023-10-27,South America,Home & Garden,Stand Mixer,20,299.99,5999.8
10118,2023-02-17,South America,Electronics,Smartwatch,8,199.99,1599.92
10119,2023-05-14,Australia,Office Supplies,Gel Pens (Pack),10,12.5,125.0
10120,2023-10-09,South America,Apparel,Cotton T-Shirt,15,15.0,225.0
10121,2023-11-28,South America,Office Supplies,Gel Pens (Pack),14,12.5,175.0
10122,2023-01-12,Australia,Home & Garden,Stand Mixer,7,299.99,2099.93
10123,2023-05-05,Europe,Apparel,Running Shoes,8,85.0,680.0
10124,2023-08-19,North America,Home & Garden,Air Purifier,2,210.0,420.0
10125,2023-07-04,Europe,Apparel,Running Shoes,9,85.0,765.0
10126,2023-10-27,Australia,Office Supplies,Gel Pens (Pack),19,12.5,237.5
10127,2023-09-02,South America,Electronics,Smartwatch,18,199.99,3599.82
10128,2023-07-25,Asia,Electronics,Smartwatch,15,199.99,2999.85
10129,2023-05-25,South America,Electronics,Smartwatch,1,199.99,199.99
10130,2023-03-09,North America,Office Supplies,Gel Pens (Pack),7,12.5,87.5
10131,2023-10-16,Europe,Electronics,Laptop Pro,12,1299.99,15599.88
10132,2023-04-22,Europe,Electronics,Bluetooth Speaker,7,50.0,350.0
10133,2023-01-23,South America,Home & Garden,Air Purifier,17,210.0,3570.0
10134,2023-02-16,South America,Home & Garden,Stand Mixer,18,299.99,5399.82
10135,2023-07-01,North America,Home & Garden,Vacuum Cleaner,7,180.0,1260.0
10136,2023-12-10,Europe,Office Supplies,Desk Chair,18,199.99,3599.82
10137,2023-07-11,South America,Home & Garden,Blender,20,35.0,700.0
10138,2023-08-30,South America,Home & Garden,Coffee Maker,2,45.5,91.0
10139,2023-12-14,North America,Home & Garden,Air Purifier,12,210.0,2520.0
10140,2023-07-07,Europe,Apparel,Yoga Pants,14,40.0,560.0
10141,2023-03-31,Europe,Office Supplies,Gel Pens (Pack),12,12.5,150.0
10142,2023-08-27,North America,Electronics,Bluetooth Speaker,10,50.0,500.0
10143,2023-01-01,South America,Electronics,Wireless Earbuds,11,150.0,1650.0
10144,2023-03-11,South America,Apparel,Running Shoes,15,85.0,1275.0
10145,2023-03-07,South America,Office Supplies,Gel Pens (Pack),15,12.5,187.5
10146,2023-02-19,South America,Home & Garden,Vacuum Cleaner,17,180.0,3060.0
10147,2023-11-10,North America,Electronics,Wireless Earbuds,8,150.0,1200.0
10148,2023-12-27,South America,Electronics,Smartphone X,10,799.99,7999.9
10149,2023-12-09,North America,Office Supplies,Printer Paper (Case),7,30.0,210.0
10150,2023-09-24,South America,Office Supplies,Whiteboard,8,80.0,640.0
10151,2023-02-26,Europe,Apparel,Running Shoes,14,85.0,1190.0
10152,2023-10-19,South America,Electronics,4K Monitor,19,320.0,6080.0
10153,2023-05-28,Europe,Electronics,Wireless Earbuds,20,150.0,3000.0
10154,2023-02-19,Australia,Apparel,Winter Jacket,3,120.0,360.0
10155,2023-04-16,North America,Apparel,Yoga Pants,20,40.0,800.0
10156,2023-04-20,Asia,Office Supplies,Printer Paper (Case),1,30.0,30.0
10157,2023-01-19,Asia,Home & Garden,Air Purifier,15,210.0,3150.0
10158,2023-02-10,Australia,Apparel,Winter Jacket,17,120.0,2040.0
10159,2023-09-21,Europe,Office Supplies,Gel Pens (Pack),10,12.5,125.0
10160,2023-06-01,Europe,Home & Garden,Stand Mixer,14,299.99,4199.86
10161,2023-08-03,North America,Apparel,Yoga Pants,8,40.0,320.0
10162,2023-07-02,Australia,Electronics,Wireless Earbuds,19,150.0,2850.0
10163,2023-01-07,Europe,Office Supplies,Whiteboard,10,80.0,800.0
10164,2023-04-25,Europe,Home & Garden,Vacuum Cleaner,17,180.0,3060.0
10165,2023-07-22,North America,Electronics,4K Monitor,16,320.0,5120.0
10166,2023-08-05,North America,Home & Garden,Coffee Maker,16,45.5,728.0
10167,2023-01-18,South America,Home & Garden,Air Purifier,19,210.0,3990.0
10168,2023-07-12,Australia,Apparel,Denim Jeans,19,60.0,1140.0
10169,2023-05-23,Australia,Home & Garden,Coffee Maker,2,45.5,91.0
10170,2023-05-26,Asia,Office Supplies,Printer Paper (Case),1,30.0,30.0
10171,2023-01-23,Australia,Home & Garden,Blender,17,35.0,595.0
10172,2023-03-02,Australia,Apparel,Cotton T-Shirt,17,15.0,255.0
10173,2023-02-19,South America,Home & Garden,Stand Mixer,16,299.99,4799.84
10174,2023-07-10,South America,Home & Garden,Coffee Maker,16,45.5,728.0
10175,2023-03-30,South America,Electronics,Tablet Mini,8,399.0,3192.0
10176,2023-12-15,South America,Office Supplies,Desk Chair,15,199.99,2999.85
10177,2023-11-23,Asia,Apparel,Denim Jeans,14,60.0,840.0
10178,2023-07-24,South America,Apparel,Denim Jeans,19,60.0,1140.0
10179,2023-03-30,Asia,Office Supplies,Ergonomic Keyboard,17,95.0,1615.0
10180,2023-08-05,South America,Home & Garden,Air Purifier,2,210.0,420.0
10181,2023-12-08,South America,Electronics,Bluetooth Speaker,15,50.0,750.0
10182,2023-09-24,Europe,Apparel,Winter Jacket,11,120.0,1320.0
10183,2023-02-02,Asia,Home & Garden,Air Purifier,14,210.0,2940.0
10184,2023-07-29,Europe,Apparel,Cotton T-Shirt,12,15.0,180.0
10185,2023-03-07,Europe,Home & Garden,Coffee Maker,12,45.5,546.0
10186,2023-01-19,Australia,Apparel,Sneakers,10,110.0,1100.0
10187,2023-06-23,Asia,Home & Garden,Coffee Maker,13,45.5,591.5
10188,2023-08-12,Asia,Office Supplies,Printer Paper (Case),5,30.0,150.0
10189,2023-08-19,South America,Electronics,Laptop Pro,6,1299.99,7799.94
10190,2023-08-01,Australia,Office Supplies,Gel Pens (Pack),20,12.5,250.0
10191,2023-06-29,South America,Electronics,Tablet Mini,15,399.0,5985.0
10192,2023-01-13,Asia,Apparel,Winter Jacket,17,120.0,2040.0
10193,2023-08-05,South America,Electronics,Smartwatch,19,199.99,3799.81
10194,2023-05-12,North America,Home & Garden,Coffee Maker,7,45.5,318.5
10195,2023-05-22,Europe,Electronics,4K Monitor,8,320.0,2560.0
10196,2023-08-22,Europe,Electronics,Laptop Pro,1,1299.99,1299.99
10197,2023-10-04,South America,Apparel,Yoga Pants,2,40.0,80.0
10198,2023-12-25,Europe,Home & Garden,Stand Mixer,2,299.99,599.98
10199,2023-07-08,Europe,Office Supplies,Whiteboard,8,80.0,640.0
10200,2023-11-14,Asia,Electronics,4K Monitor,2,320.0,640.0
10201,2023-09-21,Australia,Home & Garden,Vacuum Cleaner,12,180.0,2160.0
10202,2023-08-13,Asia,Office Supplies,Whiteboard,5,80.0,400.0
10203,2023-12-24,Australia,Home & Garden,Coffee Maker,10,45.5,455.0
10204,2023-12-18,Europe,Office Supplies,Gel Pens (Pack),2,12.5,25.0
10205,2023-03-27,Asia,Office Supplies,Desk Chair,10,199.99,1999.9
10206,2023-02-19,South America,Apparel,Denim Jeans,3,60.0,180.0
10207,2023-01-28,Asia,Home & Garden,Vacuum Cleaner,7,180.0,1260.0
10208,2023-11-12,Asia,Home & Garden,Blender,3,35.0,105.0
10209,2023-09-03,Australia,Office Supplies,Printer Paper (Case),12,30.0,360.0
10210,2023-11-24,South America,Office Supplies,Whiteboard,17,80.0,1360.0
10211,2023-04-12,South America,Apparel,Sneakers,19,110.0,2090.0
10212,2023-01-11,South America,Home & Garden,Coffee Maker,11,45.5,500.5
10213,2023-11-01,Europe,Electronics,4K Monitor,1,320.0,320.0
10214,2023-12-18,North America,Home & Garden,Blender,16,35.0,560.0
10215,2023-08-09,North America,Home & Garden,Vacuum Cleaner,8,180.0,1440.0
10216,2023-10-21,Asia,Office Supplies,Whiteboard,12,80.0,960.0
10217,2023-09-10,Asia,Apparel,Cotton T-Shirt,13,15.0,195.0
10218,2023-07-23,South America,Home & Garden,Stand Mixer,13,299.99,3899.87
10219,2023-10-07,Europe,Home & Garden,Coffee Maker,18,45.5,819.0
10220,2023-04-29,North America,Apparel,Running Shoes,15,85.0,1275.0
10221,2023-09-09,Asia,Home & Garden,Coffee Maker,12,45.5,546.0
10222,2023-08-20,North America,Home & Garden,Vacuum Cleaner,18,180.0,3240.0
10223,2023-03-05,Europe,Electronics,Smartphone X,3,799.99,2399.97
10224,2023-10-05,North America,Home & Garden,Stand Mixer,13,299.99,3899.87
10225,2023-10-06,Australia,Home & Garden,Coffee Maker,16,45.5,728.0
10226,2023-10-01,Europe,Electronics,Bluetooth Speaker,11,50.0,550.0
10227,2023-09-23,Asia,Electronics,Tablet Mini,18,399.0,7182.0
10228,2023-07-08,North America,Office Supplies,Standing Desk,18,450.0,8100.0
10229,2023-10-19,South America,Home & Garden,Air Purifier,15,210.0,3150.0
10230,2023-12-02,Australia,Home & Garden,Stand Mixer,12,299.99,3599.88
10231,2023-10-20,North America,Home & Garden,Stand Mixer,17,299.99,5099.83
10232,2023-07-20,Asia,Home & Garden,Blender,17,35.0,595.0
10233,2023-05-21,Asia,Electronics,Wireless Earbuds,3,150.0,450.0
10234,2023-04-13,South America,Home & Garden,Coffee Maker,8,45.5,364.0
10235,2023-05-30,North America,Office Supplies,Whiteboard,15,80.0,1200.0
10236,2023-03-28,Australia,Electronics,Smartphone X,7,799.99,5599.93
10237,2023-05-21,Australia,Apparel,Running Shoes,10,85.0,850.0
10238,2023-06-27,North America,Electronics,Wireless Earbuds,18,150.0,2700.0
10239,2023-07-20,Asia,Home & Garden,Blender,12,35.0,420.0
10240,2023-08-05,North America,Home & Garden,Coffee Maker,20,45.5,910.0
10241,2023-01-02,Asia,Home & Garden,Air Purifier,17,210.0,3570.0
10242,2023-05-19,Europe,Home & Garden,Coffee Maker,7,45.5,318.5
10243,2023-07-21,South America,Apparel,Winter Jacket,15,120.0,1800.0
10244,2023-12-27,North America,Office Supplies,Printer Paper (Case),2,30.0,60.0
10245,2023-03-22,North America,Electronics,Tablet Mini,20,399.0,7980.0
10246,2023-12-16,South America,Home & Garden,Vacuum Cleaner,9,180.0,1620.0
10247,2023-03-13,Asia,Home & Garden,Blender,12,35.0,420.0
10248,2023-11-11,North America,Electronics,Bluetooth Speaker,11,50.0,550.0
10249,2023-10-08,Europe,Home & Garden,Stand Mixer,14,299.99,4199.86
10250,2023-04-09,North America,Electronics,Wireless Earbuds,13,150.0,1950.0
